경기,안성시,0,0,0,0,15,4,3,0,1,0,0
경기,김포시,1,0,0,1,12,5,3,0,0,0,0
경기,동두천시,0,0,0,0,3,2,0,0,0,0,0
경기,과천시,0,0,0,0,4,0,1,0,0,0,0
경기,군포시,2,0,0,0,5,3,1,0,0,0,0
경기,남양주시,0,0,0,1,15,11,5,0,2,0,0
경기,오산시,2,0,0,0,6,2,2,0,0,0,0
경기,의왕시,0,0,0,0,3,1,0,0,0,0,0
경기,하남시,0,0,0,1,3,1,1,0,0,0,0
강원,춘천시,0,1,0,1,14,2,4,0,0,0,0
강원,원주시,3,1,0,0,19,8,4,0,1,0,0
강원,동해시,1,0,0,0,7,1,0,0,0,0,0
강원,강릉시,1,0,0,0,13,5,2,0,0,0,0
강원,속초시,1,0,0,0,7,2,3,0,0,0,0
강원,태백시,0,0,0,0,4,1,0,0,0,0,0
강원,삼척시,0,0,0,0,8,5,2,0,1,0,0
강원,홍천군,1,0,0,0,10,2,1,0,0,0,0
강원,횡성군,0,0,0,0,9,2,0,0,1,0,0
강원,영월군,0,0,0,0,6,1,0,0,2,0,0
강원,평창군,0,0,4,1,8,0,0,0,0,0,0
강원,정선군,0,0,0,0,9,0,0,0,0,0,0
강원,철원군,0,0,0,0,7,1,0,0,0,0,0
강원,화천군,0,0,0,0,5,0,1,0,0,0,0
강원,양구군,0,0,0,0,4,1,0,0,0,0,0
강원,인제군,0,0,0,0,7,0,0,0,0,0,0
강원,고성군,0,0,0,0,4,1,2,0,0,0,0
강원,양양군,0,0,0,0,2,2,2,0,1,0,0
충북,청주시,2,0,0,0,46,12,12,0,1,0,1
충북,충주시,0,0,1,1,25,4,6,0,5,0,0
충북,제천시,0,0,0,0,11,3,1,0,6,0,0
충북,보은군,0,0,0,0,7,2,0,0,0,0,0
충북,옥천군,0,0,0,0,6,0,2,0,0,0,0
충북,영동군,0,0,0,0,8,2,0,0,2,0,0
충북,진천군,0,0,0,0,5,4,2,0,0,0,1
충북,괴산군,0,0,0,0,9,3,3,0,0,0,0
충북,음성군,0,0,0,0,17,6,5,0,0,0,0
충북,단양군,0,0,0,0,5,3,0,0,1,0,0
충북,증평군,0,0,0,0,1,0,0,0,0,0,0
충남,천안시,3,1,0,1,36,10,6,0,5,0,0
